date_policy,country,med_est,high_est,low_est,sd_est
2020-01-01,Greece,-0.185563,-0.1847549,-0.18742435000000002,8.47433688103726e-4
2020-01-01,Guatemala,-0.186358,-0.185652,-0.187145,6.270481903940408e-4
2020-01-01,Guinea,-0.18561149999999998,-0.18478075000000002,-0.18653015,5.596590448802649e-4
2020-01-01,Guyana,-0.18565,-0.18449059999999998,-0.1862601,5.287079523147467e-4
2020-01-01,Haiti,-0.1856875,-0.18511044999999998,-0.1865535,5.74750295431849e-4
2020-01-01,Honduras,-0.1859305,-0.18509984999999998,-0.18669025,5.585427464384421e-4
2020-01-01,Hong Kong,-0.185507,-0.184669,-0.18692,6.948876178048114e-4
2020-01-01,Hungary,-0.185063,-0.1842406,-0.18609375,6.078162606499814e-4
2020-01-01,Iceland,-0.184687,-0.18399245,-0.1867414,8.791649882902169e-4
2020-01-01,India,-0.1859055,-0.18426045000000002,-0.1866363,6.870539737765912e-4
2020-01-01,Indonesia,-0.185098,-0.184969,-0.1861092,5.643213878773238e-4
2020-01-01,Iran,-0.186067,-0.185509,-0.18640639999999997,3.926361389221825e-4
2020-01-01,Iraq,-0.185658,-0.18458809999999998,-0.187038,6.816140868572596e-4
2020-01-01,Ireland,-0.184968,-0.1843979,-0.1863686,7.344157502467703e-4
2020-01-01,Israel,-0.1852835,-0.18440565,-0.187978,0.001083407903834113
2020-01-01,Italy,-0.18508049999999998,-0.184782,-0.18764670000000003,9.262294422241491e-4
2020-01-01,Ivory Coast,-0.18585,-0.18544265,-0.186618,4.100171116607651e-4
2020-01-01,Jamaica,-0.18533,-0.184749,-0.1860408,4.5284141566818027e-4
2020-01-01,Japan,-0.184739,-0.184322,-0.18621605,6.718427215875198e-4
2020-01-01,Jordan,-0.18731,-0.184561,-0.18817630000000002,9.998678497142677e-4
2020-01-01,Kazakhstan,-0.186744,-0.18517485,-0.187299,6.790832299379488e-4
2020-01-01,Kenya,-0.18570799999999998,-0.1839347,-0.186761,9.883679471595738e-4
